id,title,organizationType,organization,date,location,attendees,needs,budget,description,requirements,contactEmail,url
1,Winter Welcome 2025,Student Organization,Not specified,2025-01-21T00:00:00,,0,Not specified,Not specified,Calendar of Events Questions? Welcome2Mason Committee &#8211;&#160; Welcome@gmu.edu &#160; Orientation & New Student and Family Programs &#8211;&#160; OrientU@gmu.edu &#160;Housing and Residence Life &#8211;&#160; Housing@gmu.edu,Not specified,Welcome@gmu.edu,
2,Admissions Saturday Information Sessions,Department Event,Not specified,2025-01-25T09:00:00,"<a href=""http://maps.google.com/?q=38.834877,-77.307851(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Merten Hall, 1201, James W. Hazel Conference Room, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
3,REN - Seton: Junior Varsity Swim &amp; Dive,Department Event,Not specified,2025-01-25T10:00:00,"Freedom Center, Competition Pool Deep Deck, Science and Technology Campus, Freedom Center, Competition Pool Middle Deck, Science and Technology Campus, Freedom Center, Breakout Area, Science and Technology Campus",0,Not specified,Not specified,swim meet,Not specified,Not specified,
4,Les Miserables &#8211; Youth Edition,Student Organization,Not specified,2025-01-25T14:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Les+Miserables+-+Youth+Edition)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$25,"ARTfactory&#8217;s Pied Piper Theatre presents Les Miserables Youth Edition . This inspiring production captures the epic journey of Jean Valjean, a former convict seeing redemption, and the unforgettable characters who shape his destiny. Witness the power of love, sacrifice, and revolution as this unforgettable story unfolds on stage with stunning music, powerful performances, and a message of hope. This production is sponsored by the Iron Horse Family Foundation. $25 adult; $20 senior (55 & up); $20 student (ages 2-17)",Not specified,Not specified,
5,Les Miserables &#8211; Youth Edition,Student Organization,Not specified,2025-01-25T19:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Les+Miserables+-+Youth+Edition)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$25,"ARTfactory&#8217;s Pied Piper Theatre presents Les Miserables Youth Edition . This inspiring production captures the epic journey of Jean Valjean, a former convict seeing redemption, and the unforgettable characters who shape his destiny. Witness the power of love, sacrifice, and revolution as this unforgettable story unfolds on stage with stunning music, powerful performances, and a message of hope. This production is sponsored by the Iron Horse Family Foundation. $25 adult; $20 senior (55 & up); $20 student (ages 2-17)",Not specified,Not specified,
6,Silkroad Ensemble,Student Organization,Not specified,2025-01-25T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Silkroad+Ensemble)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$55,"Mason Artist-in-Residence Percussion All-Stars FEATURING ARTISTS&#160; Kaoru Watanabe&#160; Balla Kouyate Sandeep Das&#160; Shane Shanahan&#160; Francesco Turrisi&#160; Haruka Fujii Returning for a third year as a Mason Artist-in-Residence, GRAMMY Award-winning music collective&#160; Silkroad Ensemble presents this showcase of all-star percussionists and musical storytelling through the exchange of rhythm, pulse, and melody from different musical traditions around the world including India, Africa, Japan, Cuba, Middle East, Europe and beyond. The program showcases virtuoso performances representing each artist&#8217;s instruments, culture and artistry with their original compositions, alongside a performance of GRAMMY-winning bassist, Silkroad member, and composer Edward Perez&#8217;s&#160; And The Walls Became The World All Around , inspired by the children&#8217;s picture book &quot;Where the Wild Things Are&quot; by Maurice Sendak. Formed by Yo-Yo Ma and now led by Pulitzer Prize winning multi-instrumentalist Rhiannon Giddens, Silkroad Ensemble will engage the community and Mason students during its residency through a variety of events, classes, and discussions.&#160; This performance is appropriate for all ages. Tickets: $55, $47, $33; half-price for youth through Grade 12 This project is supported in part by the National Endowment for the Arts. The Mason Artist-in-Residence program is supported in part by the Wendy Frieman and David Johnson Fund.",Not specified,Not specified,
7,"Japan Commerce Association of Washington, D.C.",Department Event,Not specified,2025-01-26T08:00:00,"Van Metre Hall, 113, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square, Van&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
8,Les Miserables &#8211; Youth Edition,Student Organization,Not specified,2025-01-26T14:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Les+Miserables+-+Youth+Edition)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$25,"ARTfactory&#8217;s Pied Piper Theatre presents Les Miserables Youth Edition . This inspiring production captures the epic journey of Jean Valjean, a former convict seeing redemption, and the unforgettable characters who shape his destiny. Witness the power of love, sacrifice, and revolution as this unforgettable story unfolds on stage with stunning music, powerful performances, and a message of hope. This production is sponsored by the Iron Horse Family Foundation. $25 adult; $20 senior (55 & up); $20 student (ages 2-17)",Not specified,Not specified,
9,Student-Athlete Formal,Department Event,Not specified,2025-01-26T16:30:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Food,Not specified,Celebration formal with food and good company to relax at the beginning/end of the semester.,Not specified,Not specified,
10,Keyboard Conversations&#174; with Jeffrey Siegel: Dances for the Ears,Department Event,Not specified,2025-01-26T19:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Keyboard+Conversations%c2%ae+with+Jeffrey+Siegel%3a+Dances+for+the+Ears)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$50,"Enjoy the rhythmically captivating music of Bach, Chopin, Beethoven, and Spanish composers Enrique Granados and Manuel de Falla, in Jeffrey Siegel&#8217;s next program of Keyboard Conversations &#174; . Siegel is &#8220;a pianist with a bravura technique and a big, gorgeous sound&#8230;and when the artist himself offers the inside scoop, the musical experience becomes vastly more personal&#8221; ( Denver Post ). This performance is appropriate for all ages. The program will conclude with a short Q&A with the audience. Tickets: $50, $43, $29; half-price for youth through Grade 12 Run Time: approximately 90 minutes, plus intermission",Not specified,Not specified,
